label,prediction,pca_x,pca_y
3,3,-2.1020617,-1.710356
5,0,-1.692062,-1.7186648
8,3,0.1386668,1.7134165
1,8,-2.481766,3.1867628
2,7,-3.029754,-0.56327456
3,7,-2.3643837,0.93883353
7,6,2.3444238,-3.984467
2,7,-4.3428864,-0.82499367
8,3,3.081461,-1.1213722
8,7,-1.2573524,2.226971
9,6,-0.007472524,-4.4808564
5,0,-2.5353198,-1.4126045
7,2,7.370226,-8.910134
6,5,1.4796374,4.22043
1,3,1.1316068,-1.2846316
2,4,-6.9731817,1.6698934
4,6,2.2053585,-0.5578151
2,8,-1.9364722,1.8147414
4,9,6.6253915,-0.8023705
2,8,-2.8984337,0.8177014
0,1,1.3512795,1.607978
7,6,0.20881702,-3.6078289
3,7,-2.3532257,-1.9496596
1,9,1.287718,0.055721
5,0,-0.088896,-0.6922769
3,4,-3.2137897,-4.468182
5,7,-1.855236,2.246908
3,7,-1.9896488,-1.5284947
4,6,2.198802,0.7909876
4,9,4.501078,1.7201376
3,7,-0.05987612,1.5367216
8,3,-1.9916649,-0.8706452
2,7,-4.7934794,-0.6663969
4,9,5.5849433,0.6266161
4,9,7.2932315,0.628142
7,6,0.3790783,-6.635651
1,3,-0.09485524,-1.4407259
1,3,-0.41016454,0.35363317
7,6,-0.613271,-2.7938824
4,0,2.8574271,0.31563467
4,9,3.4036038,0.511234
7,6,1.8830044,-5.7373385
3,7,-3.1373887,-1.4717668
6,3,1.9511917,1.4254987
7,6,0.88861555,-5.202163
4,9,3.9561439,-0.67779106
6,5,1.1210607,4.527742
2,4,-6.4304147,0.85817474
9,6,1.1718671,-4.2244573
3,7,-3.3401897,0.95647436
2,4,-4.126191,1.7188697
8,3,0.7615011,-1.4676759
7,6,1.2428138,-4.3538995
6,5,0.22440535,5.868425
0,1,1.9136809,0.954236
6,3,1.1783459,2.3563235
7,6,-0.124566816,-3.649697
6,5,0.59223825,4.513528
5,5,0.8868879,1.275726
1,9,1.367565,-1.3810433
1,3,0.5692138,-0.7558495
0,1,1.7835718,1.3295174
5,4,-3.8759575,-2.6060905
1,8,-0.8085363,4.7095757
8,0,-0.23719214,-0.6350619
6,5,0.57279414,4.8238063
8,3,0.030117244,-2.2987473
1,3,-0.41970623,1.5967902
2,8,-2.195335,1.4477391
2,8,-3.1137037,1.0586816
8,3,1.2965581,-1.623371
7,6,1.3106016,-4.7879977
3,8,-2.6969402,2.6474419
0,1,2.2945526,1.8831089
6,5,0.72558576,3.9170015
8,3,-1.7299117,0.37594005
8,3,2.0123043,-0.30495688
2,8,-4.388485,2.3498442
7,6,0.4216654,-3.9897048
0,1,1.4522954,2.9663358
8,7,-0.8970197,-1.4861237
7,6,-0.4952007,-3.5495367
6,5,1.0166645,5.240323
9,7,-0.6773084,0.3391988
2,4,-6.103131,0.7337849
1,3,-0.1434139,-0.2868489
4,9,4.025765,-1.4968369
3,7,-5.1015134,0.8299215
3,7,-2.4180975,0.75714433
9,6,2.5854065,-5.16687
9,7,-2.4150963,0.58713317
0,1,1.239931,3.4213264
3,7,-3.3863642,-1.0168116
0,1,2.9317842,1.7157242
6,5,1.2509196,4.0480227
9,7,-0.70001227,0.7612248
8,3,-0.279619,-0.65783536
8,7,0.05987552,0.00339423
5,0,2.3294213,-1.0429578
8,3,0.23915593,-0.44605625
5,0,-0.53587914,0.39515346
9,7,-2.7078164,0.67291343
0,1,1.8558443,2.1332166
1,9,2.267556,-0.98586935
8,3,-0.64200336,0.27827674
9,9,4.4926043,-2.673197
5,4,-4.0434303,-3.3741233
9,7,-0.27611998,-1.349047
4,9,5.612624,2.5883868
0,1,1.0870949,2.7007933
6,3,1.6344243,1.5025487
9,6,-0.43106273,-3.5149534
0,1,1.1074473,0.3022345
7,6,0.7230682,-4.095731
2,3,-2.619184,-1.3882406
2,4,-4.7340574,-1.6349934
5,4,-2.3590262,-0.59343
3,7,-3.5327835,0.34814748
7,2,2.8419664,-5.4043927
6,5,0.94634706,4.148307
1,8,-2.4876382,2.5362654
1,8,-1.2586766,3.618035
7,6,-0.5314854,-3.8918164
9,7,-0.32670876,0.9792528
4,9,5.050649,1.4706135
9,6,1.150541,-3.5468836
8,3,0.29308313,-0.2798449
3,7,-3.4671903,2.1171753
5,9,3.8046184,-0.23013
2,4,-5.2583847,0.7443433
0,1,2.321677,2.989707
2,3,-3.4457996,0.0731671
4,9,5.120993,2.8109908
5,0,1.9324045,-0.9721213
8,7,-1.2158009,-0.41093352
0,1,1.672407,1.7164714
3,7,-3.4277437,-2.5196216
0,1,1.5973247,2.745195
6,5,2.2367647,1.8884145
1,9,3.3176916,-3.0385947
2,8,-4.263418,1.9322189
2,8,-3.5236313,0.82755667
0,1,0.6078883,3.5556118
8,3,0.8075369,-0.57524484
7,6,-0.929761,-1.9828194
7,2,2.745038,-5.4556866
9,7,-0.49360237,1.096619
9,7,-0.80675703,1.2257339
2,4,-6.7889886,1.3389559
8,7,-2.6704688,1.162846
5,0,-2.857065,-1.444048
5,0,-1.5337151,0.22789155
4,9,4.6046677,1.2010461
0,1,2.638208,1.08244
6,5,1.8151809,2.1590648
2,8,-3.5772514,-0.537782
1,3,-0.77768606,-1.7909863
2,8,-3.9782984,0.6507096
2,4,-4.7151065,0.80097455
6,5,1.0146897,4.030814
4,9,4.4502163,0.8211534
8,3,-0.35707518,-1.3542691
9,7,-0.83711684,-1.5746404
0,1,1.6000891,1.7702552
0,1,1.9622195,0.94019413
9,7,-0.13216567,1.0566826
3,7,-2.56922,-0.477392
2,8,-5.96675,1.8634185
6,5,0.6084994,5.920492
4,9,6.4584103,2.2231588
7,6,0.6140686,-5.460664
0,1,1.611146,3.31584
2,8,-2.1314166,0.81894857
8,7,0.43967208,-1.4946812
6,5,1.9035262,3.5756366
1,3,-0.1579691,-1.9033387
5,4,-3.2462904,-2.610726
5,4,-3.9710624,-3.088715
4,2,6.7773004,-5.94673
7,6,-2.1682353,-1.9983501
6,5,1.5695381,3.980929
7,6,0.43687332,-5.1617956
7,6,-1.3506737,-2.1750407
3,7,-3.7213953,1.579009
5,0,-0.58519226,-1.9531691
5,7,-0.586404,0.7202967
6,5,1.7525606,4.087026
1,9,2.2093308,-1.2296681
1,3,-0.46505165,-0.8493024
6,5,1.7558178,3.3591523
0,1,1.7392361,0.42535204
9,7,-0.13020892,0.267588
4,9,4.877337,1.0799341
5,0,1.4938599,0.10603209
4,9,6.5003004,-0.23259392
4,10,8.329321,2.6062353
3,7,-2.32927,0.47484142
0,1,1.8546693,1.4834203
1,3,-0.25216803,-0.8566746
2,4,-5.6239862,0.350981
0,1,1.3840466,0.39733538
3,7,-2.5876834,0.0034985032
8,4,-1.8303462,-1.034164
3,7,-4.5889125,1.0020945
5,0,-1.1981615,-0.26421687
7,6,0.70433134,-3.9329703
1,9,1.6944063,-2.0748098
8,3,-4.095565,0.80217016
4,9,5.969944,0.70746166
8,3,1.9759821,-0.39844593
1,3,-0.32107636,-1.2666298
3,7,-4.3553534,0.36331958
6,5,1.1653457,4.0917034
5,0,-0.39516863,-2.310685
3,7,-2.6627119,-0.73479533
4,9,5.7202725,1.2774178
7,6,-1.4827487,-4.0558414
8,3,-1.4157041,1.0311979
1,3,-0.6520313,-1.2881833
6,5,1.1593691,5.3998933
4,9,4.559385,2.3712432
9,7,-0.32579952,0.3440722
8,3,-1.8054725,-1.720756
7,4,-3.6262107,-2.358176
0,9,2.8540862,0.54162544
4,9,3.265758,0.40491113
5,0,-0.3901978,-1.1544132
2,3,-2.4604802,0.8867226
3,7,-3.9014819,-0.273792
5,0,-1.6893398,-1.7463415
4,9,5.5548744,2.7307196
7,6,2.8859713,-5.2983785
6,5,1.6610359,4.812986
2,8,-2.1503174,-0.74291795
2,4,-5.3101215,-1.2871194
1,3,0.7627404,-0.6432198
2,4,-6.4995003,1.0055859
6,5,2.125755,3.5263574
7,6,0.5329175,-4.234233
4,9,2.6684818,0.71345705
3,3,-0.4685501,-3.5752785
6,5,0.9419379,4.23266
0,1,1.6522684,2.8720028
1,3,-0.100567386,-1.3371358
0,1,1.1705807,-1.1869903
4,9,3.1282,1.5745502
7,6,-1.5660366,-2.8733094
7,6,0.21806733,-1.9428998
9,7,-2.013864,2.3761835
8,7,-2.7177997,0.66867477
8,6,1.9256397,-2.1244874
1,8,-0.9392512,4.010986
4,9,4.26175,0.42833036
2,3,-3.78473,-0.10491763
0,1,0.7004612,1.9527832
8,3,-1.8499091,-2.5803695
8,3,-1.5856242,-1.1837245
6,5,1.0002505,4.1092706
5,0,-1.1006565,-2.2560668
5,7,-2.5686517,1.18216
8,7,-0.35143605,0.15077159
8,3,-2.1269798,-0.68323946
4,9,3.1127825,1.0231442
9,7,-0.25173327,-1.129116
3,7,-2.5568764,-2.993414
9,7,-0.14535177,-2.4372528
3,7,-3.1011531,-1.3503389
3,7,-3.554408,-1.3383199
1,9,2.7986186,-1.7858437
1,9,1.7440029,-1.6284435
3,8,-2.3204916,2.1599898
6,5,2.2107494,3.0125406
2,3,1.4687217,-0.30640873
6,5,1.161419,2.763182
0,1,0.4730373,4.0473223
1,3,1.6401826,-3.703235
1,3,0.44326398,0.17269345
3,7,-3.0972083,-0.82259804
9,7,-3.4207842,0.638777
4,9,5.3761206,1.9572093
1,9,3.4866538,-1.9986708
9,9,4.217434,-2.8738425
6,5,1.6794326,3.8775864
0,1,-0.54093486,2.0219815
0,1,2.9180272,2.2515032
6,5,0.91307855,4.6870427
9,7,-1.3380963,0.49002188
1,8,-2.3767161,3.4377537
2,8,-2.7418015,0.6068272
9,7,-0.18491797,0.5920306
6,5,1.9102836,4.5786366
8,7,-0.473068,-0.011675088
2,4,-5.932779,2.9979506
3,7,-3.3213987,-0.33532086
7,4,-3.482877,-2.2703135
1,3,-0.13902701,0.80177283
8,7,-0.75676715,1.299862
7,6,2.366311,-4.582127
5,0,0.98919547,-1.0015833
8,3,-0.6659362,-0.045992706
1,9,2.7969556,-2.625866
1,9,2.5917,-1.5336993
7,6,0.42340153,-5.0781493
6,5,1.5790193,4.3602476
5,0,-1.8448558,-0.8976642
6,5,2.1529953,4.191634
4,9,5.1849666,0.82603985
7,6,1.6822892,-3.7518365
7,6,0.1419912,-2.8183863
3,0,-1.4071072,-0.46964577
5,0,1.6417269,-2.3371122
1,8,-3.1612406,2.7927449
4,9,4.495723,-1.2633301
8,0,2.0875611,-3.461899
1,3,1.2971902,0.15830553
6,5,2.1790328,3.1429513
7,2,4.5933933,-5.679796
4,9,2.742101,0.6534399
7,6,-0.5733319,-4.648386
2,4,-4.89959,1.7037807
3,7,-1.917333,-1.4943627
8,3,0.43931755,1.0578785
2,4,-5.544929,1.2869449
7,6,-0.66482776,-2.1709623
6,5,1.4469682,3.8139617
7,6,-0.3231523,-3.2292192
6,5,1.0186993,3.7417872
7,6,1.7132063,-1.9041013
3,7,-2.15287,-0.7783135
9,7,-0.31309938,0.7169662
7,6,1.4358681,-5.295011
8,3,-0.03961932,-2.2852051
3,7,-2.2940056,1.4201217
9,7,-0.7551283,-1.4931498
8,7,-2.527868,0.38787875
2,7,-0.85025483,0.72270614
7,6,0.8106718,-4.4854336
9,7,-1.4217317,-0.71452737
3,7,-2.2615323,1.2876625
0,1,1.4127032,-0.16861124
3,7,-3.4036272,-2.283972
1,3,-0.0014702262,0.8706311
2,4,-5.1364045,0.19099611
2,8,-2.859088,1.5752733
1,8,-2.3491592,2.7404072
5,4,-2.6600418,-0.5395805
3,7,-2.0933177,0.43797898
1,8,-2.1308746,3.2521954
0,1,0.009807597,3.1741195
4,9,4.605137,2.2754426
5,0,-2.5872192,-2.0454044
2,4,-5.144721,1.0074705
9,7,-0.7581502,-0.10469717
4,9,2.770557,0.95467013
4,9,4.468992,-1.3426137
0,1,1.981498,1.4207506
0,1,0.9897085,3.7380066
5,0,-2.8654683,-0.16331841
1,9,2.40336,-0.87907326
9,0,-2.2423246,-2.0158806
1,3,1.9962146,-1.0008947
9,7,-1.0757717,-1.0266026
4,9,5.4087358,1.2529662
1,9,1.3661695,-1.6277229
6,5,1.3002177,4.510792
2,4,-5.532292,2.4110687
7,6,-1.2166632,-3.5985537
5,0,1.2547498,-1.6842078
3,3,-1.281156,-3.389803
1,3,1.2558126,-0.46883017
5,4,-3.3613484,-2.9633765
2,8,-3.9887235,2.3330877
0,1,1.1823506,1.3925793
1,8,-2.7582283,2.9523022
5,4,-4.980895,-2.6198914
5,0,-1.7460144,-1.0863001
2,3,1.3016768,0.31710055
7,6,2.4179401,-2.6966646
3,7,-3.5162911,-2.9336488
9,7,-1.6625854,1.6936322
3,7,-3.0226073,-0.20155574
3,7,-1.2327691,0.52345806
2,8,-3.583195,0.54169333
4,9,4.597866,0.39365745
3,7,-1.9627683,-0.7093345
4,9,3.9721236,2.8509526
0,1,1.5912095,1.8421174
8,7,-1.8105776,0.2312786
3,7,-4.5010643,0.86421305
4,6,-2.1208363,-1.8567868
4,9,5.9818807,1.0356117
8,3,-0.16649076,-0.93385166
9,7,0.27034312,-0.044337504
0,1,0.65746456,0.60169566
9,7,-1.9705245,-1.444729
9,7,-1.8529519,-1.2925535
6,5,0.9646907,4.603321
8,0,-0.856377,-0.5857569
4,2,6.3264117,-6.4645157
7,6,0.33491963,-3.7815325
5,7,-4.1316614,2.926573
5,0,-2.01986,0.25233406
1,3,-0.15789223,-1.1675392
0,1,1.3494025,3.0062819
2,4,-4.215871,2.686067
1,3,0.05156089,-0.3390326
6,5,2.294712,2.0284982
1,8,-2.7146685,3.526414
6,5,2.263379,3.5719202
9,7,-1.9978312,-0.5646414
7,6,0.23471896,-2.8783357
9,7,-2.295538,0.19705313
9,9,3.6290877,-5.0042634
8,3,0.43165407,0.21256644
2,3,-3.31849,-0.7118837
5,0,-1.543577,-2.3415122
6,5,0.10888408,4.771922
2,4,-4.85951,0.8239521
7,6,-0.49734807,-2.63324
0,1,2.011288,0.2941349
1,9,2.6872017,-1.2050499
9,7,-1.5518844,-1.4526119
8,3,1.2045504,-0.9768793
1,3,-0.23578319,0.7297927
2,3,-3.1032608,1.5319701
2,4,-4.152762,2.0196123
0,1,-0.40822932,2.0971873
3,7,-0.5510107,0.7572773
9,9,3.5138702,-2.9363596
3,7,-2.3630366,0.6567702
1,3,-0.54938436,-0.9995973
7,6,-0.16864297,-3.7875493
8,3,-1.2483937,-1.8839281
2,8,-1.4793122,0.40351927
4,9,3.0669267,0.34237617
1,9,2.5977967,-2.7781384
4,9,4.4189415,0.56524736
6,5,1.2963973,4.0873413
6,5,0.7087655,4.271779
6,5,1.3764629,4.4586625
0,1,2.213793,0.7097342
8,3,-0.9608013,-0.60065377
5,0,-2.5089688,-0.18641935
2,4,-4.474779,2.6299834
0,1,0.04118773,3.3261688
2,4,-5.381603,0.7821754
9,9,4.2893925,-3.2417047
4,9,6.0351152,-0.61601424
5,0,-2.7109869,-3.793857
2,4,-5.453522,1.769484
6,5,0.99300975,4.6065574
1,3,-0.65915656,-1.106644
0,1,1.6331336,2.2906368
1,3,0.60575795,-1.4132782
3,7,-2.665118,-0.35355058
6,5,1.3042253,4.5243053
8,7,-2.7011275,1.0047303
4,9,4.9571924,1.1593143
9,7,-1.2771794,1.4434533
6,5,2.353067,1.3859932
6,3,2.9413848,-0.10076059
5,0,-0.905487,0.2686271
5,0,-1.4333569,-0.63170815
2,3,-1.6687307,-2.301437
4,9,4.845841,-1.6219794
6,5,1.257575,4.1809044
0,1,0.9630106,3.0669787
7,6,1.5966947,-4.6751256
5,0,-0.3980202,0.15108317
9,7,-2.3480012,1.4770564
0,1,2.0238564,3.4582028
5,7,-2.1343348,0.6788849
4,9,3.9200733,-1.1960222
5,0,-2.2324932,-1.9741769
1,8,-1.0928183,2.5383985
6,5,0.44496876,3.8206868
8,3,-0.4612239,-1.5507065
2,8,-3.6524482,1.230909
6,5,2.4292595,4.0360265
1,3,1.286141,0.4102595
7,6,-0.47726238,-3.9371145
5,4,-5.5729446,-2.850707
4,9,3.2286146,1.4447465
9,9,3.1908574,-2.289264
2,8,-0.23849721,0.64133334
0,1,2.482547,3.6080434
7,6,0.52779067,-2.6887283
5,7,-1.5774449,1.1319915
4,9,4.815765,0.0054893754
0,1,2.1250474,2.0303488
4,9,4.1614556,-0.54024285
9,7,-1.9285167,0.14665686
0,1,0.97020185,-0.49147847
7,6,-0.37162915,-3.3558898
3,7,-3.0465896,0.16614428
1,8,-1.9701335,3.9282901
9,7,-1.0973271,1.6205065
4,9,5.164275,-0.688003
9,7,-0.8700324,-0.19477041
2,3,-3.1976416,0.5802425
3,7,-2.5410197,2.3546154
3,7,-4.6543202,0.4883701
3,7,-1.9605703,-0.7873206
5,4,-5.109825,-2.7751706
3,7,0.4276575,2.017872
6,5,2.1276214,2.82158
9,7,-0.71125644,-0.25327542
9,7,-1.6985519,-0.05348814
7,6,0.06380359,-2.7375903
9,7,-1.1943315,0.43085095
1,9,3.2971969,-2.764927
5,0,-0.6494873,-1.1387322
6,5,0.17733407,4.7882824
9,7,-1.1193894,-0.0216236
6,5,0.6002816,3.051041
2,4,-4.4855466,1.9908959
6,5,0.92109525,3.2613335
4,0,2.7823083,0.29785934
8,7,-1.5749142,-0.2527244
2,8,-3.5416498,0.5483183
5,7,-1.3015273,1.1478633
9,9,4.951717,-4.485965
6,5,2.1583433,3.6204085
0,1,1.3883013,-0.034995392
6,5,1.7930428,4.0376883
5,0,-2.2391572,0.6749505
6,5,2.5382333,3.0937445
2,4,-5.394854,0.2425499
7,6,-0.25215548,-6.44765
9,7,-3.921335,0.64309543
2,3,-4.148649,0.016350951
5,0,-2.1522956,-2.9640512
9,7,-1.1953325,0.48734897
0,1,0.5297897,3.5682054
6,5,1.0754913,3.835273
5,7,-1.6079773,-0.19674627
3,7,-1.4114795,-1.0829353
5,4,-2.8740752,-1.936185
3,7,-2.4475594,1.7338574
8,3,1.5495487,-0.7183374
1,3,0.87359583,0.5629595
9,7,-2.6305459,1.5433038
7,6,-1.3178747,-3.3175313
4,9,4.8102837,0.93686444
4,6,-1.0778718,-1.6702393
0,1,2.677577,2.8719206
1,9,2.5463994,-1.752233
0,1,1.3195102,1.6940504
2,8,-3.4884057,1.323015
3,7,-1.3046167,1.8411845
0,1,1.6714414,0.99479705
8,3,-1.1614836,-0.5128822
7,6,-0.833083,-3.4037964
5,0,-1.2657945,-2.1753635
7,6,-0.67274326,-2.4734378
2,8,-3.3510292,0.69753814
8,0,-0.21365234,-1.2989914
2,8,-2.7060423,0.4599773
1,8,-2.6490088,3.46174
3,7,-2.443442,0.3096411
8,0,0.5352797,-1.1988698
7,6,3.2683077,-2.8396769
1,3,1.4326851,-2.4995172
5,0,-1.3791213,-0.04026279
0,1,1.2460141,2.6721585
4,9,4.077765,0.50747323
4,9,2.6555505,0.6588783
5,0,1.1965094,-1.6978704
4,9,6.3513045,0.04682735
9,7,-1.5750414,-0.47497582
2,4,-4.971117,0.31267264
9,7,-1.4010814,0.8426035
3,6,-0.18570133,-5.4633946
4,2,8.122851,-4.316866
6,5,0.88295805,3.2907414
0,1,2.2514305,0.96729827
4,9,5.386368,0.62390894
0,1,1.9186417,3.7846372
7,6,1.7681317,-2.4015749
3,7,-1.080937,-2.8970265
6,5,1.5420473,4.050853
0,1,3.288284,2.4370563
1,3,0.5665988,-1.9504702
4,9,3.6938322,1.7491331
9,7,-1.8759747,1.0827464
2,8,-1.4273885,-1.0351206
3,7,-2.783741,0.83536994
6,5,1.1241802,4.19196
9,7,-4.341568,-0.012469294
0,1,1.4340863,2.775677
7,6,0.96662307,-2.2412221
5,4,-4.192097,-2.5259209
8,3,-1.5653068,-0.36925712
7,6,0.46072638,-2.7379785
6,5,2.1074798,3.6646683
3,7,-1.437343,-1.1079161
1,9,2.6468742,-1.2308679
7,6,1.0897228,-3.7017608
8,3,0.15775238,-0.67930186
4,6,2.0774796,-2.2679799
3,7,-4.456184,0.27951366
1,8,-1.9209322,3.7999225
4,9,5.1049557,0.41554245
7,4,-2.6244235,-2.9193964
7,6,-0.23307367,-4.096446
0,1,0.68082064,3.5094771
1,9,1.8722128,-0.9220549
7,6,0.5394651,-4.5049667
5,4,-2.897157,-2.1812541
1,3,1.5728964,-1.5465583
4,9,4.2791276,0.49475038
7,6,-2.1590059,-2.4055028
6,5,1.5977204,3.9190629
1,3,0.2795012,-0.28323272
2,8,-2.3321636,2.0199955
0,1,1.9779168,2.5416045
1,9,2.4792213,-1.2779385
9,7,-3.3706677,0.8080259
0,1,1.3440927,1.5861589
5,0,-1.4140847,-0.42469385
3,7,-4.448735,-0.52201
4,9,4.5218744,-1.4406564
3,7,-2.9721515,-1.357872
5,7,-2.2297156,2.2767444
5,0,-1.8117626,-0.7404412
6,5,1.3936005,3.1244211
6,5,0.9390294,4.324392
5,0,-1.7009296,0.4385867
5,0,-0.3476326,-0.7104808
2,8,-3.1360142,1.4113069
8,3,-1.7705187,0.35031307
7,6,-0.9250704,-3.1204174
5,7,-1.5985096,1.1897099
4,9,3.4085379,0.12468848
5,4,-4.220546,-3.1171563
2,3,-3.7949057,0.22515245
3,7,-2.331434,-0.27879122
6,5,0.41064405,4.9364595
2,4,-4.7620506,0.6316556
3,4,-6.040959,-1.9244095
0,1,1.0902556,2.4149468
3,6,-1.4361069,-3.094824
9,7,-1.8135252,-1.1976657
8,3,-0.73960656,-0.95665586
4,9,5.6365623,1.0052347
3,7,-1.9518712,-2.8623972
3,7,-2.2312276,1.2860417
9,2,5.5141435,-8.750183
9,7,-1.4079363,-0.28286278
9,7,-2.24998,0.30800217
5,0,-0.37661746,-0.5249719
3,7,-3.6050427,-1.703397
4,9,3.9691544,0.15032822
4,9,4.188727,2.130908
5,7,-3.8769884,0.3994726
3,6,0.1471594,-4.8864098
7,6,0.50226426,-2.425802
2,4,-4.400628,2.7113364
6,5,0.5790867,6.0375586
3,7,-3.2815971,1.6330708
6,5,1.8251896,4.3296847
9,3,-2.1060538,-2.7063017
1,8,-2.0201008,3.1066825
9,7,-1.4103175,1.2268949
9,7,-1.627367,1.001337
4,9,4.5077763,1.6457199
1,9,1.8214211,-1.564074
7,6,0.6469039,-2.9077816
6,5,1.436689,4.1972094
6,5,1.3255382,3.0253522
6,5,1.6220565,3.9044902
9,7,-2.829441,1.4463494
7,6,-0.017656578,-3.7360578
8,3,1.177559,0.23008642
6,5,1.9323634,3.7220104
8,0,-0.109895825,-0.95107096
4,9,3.9567194,-0.30985716
5,7,-1.9973904,2.0942976
2,4,-6.4336977,0.8116298
9,7,-0.6525284,0.75470734
0,1,1.7897984,1.7463412
7,6,-2.0758429,-0.6523006
7,6,-0.4329245,-3.2151227
3,7,-1.4690095,-3.9093003
9,7,-0.36992994,2.1259916
1,9,2.59329,-2.3903496
5,0,-0.68169385,-2.8732607
